Index,City,Country,Date,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Talnakh,RU,2020-12-15 18:05:15,69.49,88.4,-11.2,76,75,13.42
1,Qaanaaq,GL,2020-12-15 18:05:15,77.48,-69.36,-1.7,64,0,8.52
2,Klyuchi,RU,2020-12-15 18:05:15,52.27,79.17,4.53,94,95,8.08
3,Chui,UY,2020-12-15 18:05:15,-33.7,-53.46,78.03,42,0,13.04
4,Kerema,PG,2020-12-15 18:05:15,-7.96,145.78,77.56,82,100,3.8
5,Atuona,PF,2020-12-15 18:05:16,-9.8,-139.03,78.84,77,9,22.01
6,Severo-Kuril'sk,RU,2020-12-15 18:05:16,50.68,156.12,29.95,95,94,10.16
7,Rikitea,PF,2020-12-15 18:05:16,-23.12,-134.97,76.62,72,7,7.09
8,Kapaa,US,2020-12-15 18:05:17,22.08,-159.32,77.0,78,20,11.41
9,Hermanus,ZA,2020-12-15 18:05:17,-34.42,19.23,64.0,70,6,1.01
10,Avarua,CK,2020-12-15 18:05:17,-21.21,-159.78,80.6,83,92,11.41
11,Jamestown,US,2020-12-15 18:04:16,42.1,-79.24,28.0,63,90,8.05
12,Constitución,CL,2020-12-15 18:05:17,-35.33,-72.42,67.93,36,0,18.9
13,Hithadhoo,MV,2020-12-15 18:00:29,-0.6,73.08,81.81,70,1,9.42
14,Lorengau,PG,2020-12-15 18:05:17,-2.02,147.27,82.26,75,97,3.38
15,Misratah,LY,2020-12-15 18:05:18,32.38,15.09,61.5,64,0,2.33
16,East London,ZA,2020-12-15 18:04:17,-33.02,27.91,68.0,82,40,8.05
17,Saint George,US,2020-12-15 18:02:19,37.1,-113.58,42.01,47,1,1.32
18,Saint Paul Harbor,US,2020-12-15 18:01:11,57.79,-152.41,35.6,74,90,8.05
19,Teloloapan,MX,2020-12-15 18:05:18,18.35,-99.85,75.58,46,45,3.96
20,Albany,US,2020-12-15 18:03:16,42.6,-73.97,33.01,36,9,1.99
21,Conceição da Barra,BR,2020-12-15 18:00:38,-18.59,-39.73,83.21,61,66,9.46
22,Butaritari,KI,2020-12-15 18:05:19,3.07,172.79,81.41,81,99,16.35
23,São Miguel do Araguaia,BR,2020-12-15 18:00:28,-13.28,-50.16,93.27,37,12,4.23
24,Barrow,US,2020-12-15 18:05:19,71.29,-156.79,-5.8,76,1,18.34
25,Antalaha,MG,2020-12-15 18:05:19,-14.9,50.28,76.15,81,2,9.48
26,Aklavik,CA,2020-12-15 18:05:19,68.22,-135.01,-20.2,75,75,2.24
27,Bluff,NZ,2020-12-15 18:05:19,-46.6,168.33,59.0,66,63,8.01
28,Berlin,DE,2020-12-15 18:02:32,52.52,13.41,44.01,81,40,6.93
29,Havre-St-Pierre,CA,2020-12-15 18:05:20,50.23,-63.6,19.4,67,90,14.99
30,Berlevåg,NO,2020-12-15 18:05:20,70.86,29.09,35.6,80,75,10.29
31,Faya,SA,2020-12-15 18:05:21,18.39,42.45,59.0,87,0,3.36
32,Boca do Acre,BR,2020-12-15 18:05:21,-8.75,-67.4,85.46,66,95,2.44
33,Cape Town,ZA,2020-12-15 18:00:48,-33.93,18.42,66.99,59,0,25.28
34,Tasiilaq,GL,2020-12-15 18:05:21,65.61,-37.64,30.2,58,75,8.05
35,Ushuaia,AR,2020-12-15 18:01:01,-54.8,-68.3,44.6,81,75,32.21
36,Mayo,US,2020-12-15 18:05:21,38.89,-76.51,42.01,48,1,6.93
37,Hilo,US,2020-12-15 18:05:21,19.73,-155.09,73.4,78,1,5.82
38,Saint-Philippe,RE,2020-12-15 18:05:21,-21.36,55.77,75.2,94,84,2.24
